window_seconds,stride_seconds,task,class_id,class_name,count,percentage_of_valid
5.0,1.0,y_classify_transition,2,Sit/stand,88,23.036649214659686
5.0,1.0,y_complete,0,0,501,1.6759215896166455
5.0,1.0,y_complete,1,1,798,2.6694319930420822
5.0,1.0,y_complete,2,2,46,0.15387703218037063
5.0,1.0,y_complete,3,3,275,0.9199170402087375
5.0,1.0,y_complete,4,4,417,1.3949287482437946
5.0,1.0,y_complete,5,5,1036,3.4655783769318256
5.0,1.0,y_complete,6,6,1469,4.914029571151402
5.0,1.0,y_complete,7,7,776,2.595838629825383
5.0,1.0,y_complete,8,8,1128,3.7733324412925673
5.0,1.0,y_complete,9,9,913,3.0541245734930085
5.0,1.0,y_complete,10,10,333,1.113935906870944
5.0,1.0,y_complete,11,11,1255,4.198166856225329
5.0,1.0,y_complete,12,12,52,0.17394794942128855
5.0,1.0,y_complete,13,13,386,1.2912290091657188
5.0,1.0,y_complete,14,14,1783,5.964407573426105
5.0,1.0,y_complete,15,15,1100,3.67966816083495
5.0,1.0,y_complete,16,16,993,3.321736803371914
5.0,1.0,y_complete,17,17,562,1.879975914899311
5.0,1.0,y_complete,18,18,45,0.15053187930688433
5.0,1.0,y_complete,19,19,66,0.22078008965009702
5.0,1.0,y_complete,20,20,1222,4.087776811400281
5.0,1.0,y_complete,21,21,965,3.2280725229142972
5.0,1.0,y_complete,22,22,571,1.9100822907606878
5.0,1.0,y_complete,23,23,163,0.5452599183782699
5.0,1.0,y_complete,24,24,176,0.588746905733592
5.0,1.0,y_complete,25,25,19,0.06355790459624004
5.0,1.0,y_complete,26,26,30,0.10035458620458955
5.0,1.0,y_complete,27,27,2499,8.35953703084231
5.0,1.0,y_complete,28,28,27,0.09031912758413059
5.0,1.0,y_complete,29,29,59,0.19736401953569277
5.0,1.0,y_complete,30,30,2397,8.018331437746705
5.0,1.0,y_complete,31,31,20,0.06690305746972637
5.0,1.0,y_complete,32,32,19,0.06355790459624004
5.0,1.0,y_complete,33,33,2124,7.10510470328494
5.0,1.0,y_complete,34,34,88,0.294373452866796
5.0,1.0,y_complete,35,35,441,1.4752124172074663
5.0,1.0,y_complete,36,36,49,0.1639124908008296
5.0,1.0,y_complete,37,37,48,0.1605673379273433
5.0,1.0,y_complete,38,38,4474,14.966213955977787
5.0,1.0,y_complete,39,39,84,0.28099284137285074
5.0,1.0,y_complete,40,40,485,1.6223991436408645
5.0,1.0,y_detect_fall,0,Fall,1715,5.736937178029036
5.0,1.0,y_detect_fall,1,Non-Fall,28179,94.26306282197096
5.0,1.0,y_detect_movement,0,0,10047,33.60875091991704
5.0,1.0,y_detect_movement,1,1,19847,66.39124908008296
5.0,1.0,y_unified,0,Backward fall,501,1.6976145296828409
5.0,1.0,y_unified,1,Frontal fall,776,2.629438872323123
5.0,1.0,y_unified,2,Lateral-left fall,52,0.17619951206288967
5.0,1.0,y_unified,3,Lateral-right fall,386,1.3079425318514502
5.0,1.0,y_unified,4,Standing,4896,16.589861751152075
5.0,1.0,y_unified,5,Sitting,339,1.1486852805638383
5.0,1.0,y_unified,6,Kneeling,1255,4.252507454594741
5.0,1.0,y_unified,7,Down/Prone,3557,12.052724315532664
5.0,1.0,y_unified,8,Walking,3222,10.917592843589048
5.0,1.0,y_unified,9,Sweeping,5943,20.137571157495255
5.0,1.0,y_unified,10,Running,5413,18.341691515315805
5.0,1.0,y_unified,11,Jumping,2374,8.044185416101925
5.0,1.0,y_unified,12,Crawling,798,2.7039848197343455
